City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Kahului,US,20.8947,-156.47,84.22,62,40,19.57,scattered clouds
133,Sinnamary,GF,5.3833,-52.95,77.63,88,91,12.01,overcast clouds
134,Ondjiva,AO,-17.0667,15.7333,65.77,64,24,6.91,few clouds
135,Yaritagua,VE,10.08,-69.1261,73.02,95,100,3.36,overcast clouds
136,Sainte-Maxime,FR,43.3,6.6333,58.19,64,4,7.45,clear sky
137,College,US,64.8569,-147.8028,53.58,31,40,4.61,scattered clouds
138,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,20.71,broken clouds
139,La Rochelle,FR,46.1667,-1.15,51.94,93,0,3.44,clear sky
140,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,73.42,51,8,3.94,clear sky
141,Tiksi,RU,71.6872,128.8694,20.73,80,87,9.26,overcast clouds
142,Aasiaat,GL,68.7098,-52.8699,22.73,96,100,3.24,overcast clouds
143,Solnechnyy,RU,50.7214,136.6319,40.75,67,8,4.18,clear sky
144,Kijang,KR,35.2442,129.2139,55.13,85,100,19.62,overcast clouds
145,Constitucion,CL,-35.3333,-72.4167,49.19,72,3,7.52,clear sky
146,Pacific Grove,US,36.6177,-121.9166,56.43,77,20,20.0,few clouds
147,Sucua,EC,-2.4667,-78.1667,65.28,95,92,3.49,overcast clouds
148,Sandviken,SE,60.6167,16.7667,32.11,59,51,4.61,broken clouds
149,Aksarka,RU,66.5606,67.7975,16.0,77,52,4.38,broken clouds
150,Thinadhoo,MV,0.5333,72.9333,85.08,66,58,5.95,broken clouds
151,Vostok,RU,46.4856,135.8833,47.28,28,11,9.37,few clouds
152,Gornyak,RU,50.9942,81.4661,62.4,36,15,11.1,few clouds
153,Lompoc,US,34.6391,-120.4579,54.59,78,0,21.85,haze
154,Inirida,CO,3.8653,-67.9239,75.13,96,100,1.39,light rain
155,Shingu,JP,33.7333,135.9833,61.77,97,100,7.58,moderate rain
156,Wodonga,AU,-36.1167,146.8833,72.97,86,100,9.22,overcast clouds
157,Isangel,VU,-19.55,169.2667,73.69,93,100,20.89,moderate rain
158,Ilfracombe,GB,51.2093,-4.1134,45.55,79,93,11.63,overcast clouds
159,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.58,88,0,12.68,clear sky
160,Ginir,ET,7.1333,40.7,56.89,85,68,3.76,broken clouds
161,Nikolskoye,RU,59.7035,30.7861,37.71,86,100,7.14,overcast clouds
162,Hithadhoo,MV,-0.6,73.0833,84.72,65,53,4.43,broken clouds
163,West Plains,US,36.7281,-91.8524,59.83,72,75,5.75,broken clouds
164,San Jose De Guanipa,VE,8.8872,-64.1651,78.28,78,24,9.73,few clouds
165,Paredon,MX,16.0333,-93.8667,84.33,64,2,4.0,clear sky
166,Buraydah,SA,26.326,43.975,64.85,59,46,4.18,scattered clouds
167,Pyapon,MM,16.2833,95.6833,91.31,48,100,6.49,overcast clouds
168,Palauig,PH,15.435,119.9045,89.4,59,99,3.71,overcast clouds
169,Grand Gaube,MU,-20.0064,57.6608,76.37,76,9,3.0,clear sky
170,Cockburn Town,TC,21.4612,-71.1419,75.47,60,44,15.79,scattered clouds
171,Emerald,AU,-23.5333,148.1667,80.35,53,9,11.97,clear sky
172,Kolondieba,ML,11.0882,-6.8926,76.64,69,99,5.86,overcast clouds
173,Stavern,NO,59.0,10.0333,41.31,65,14,17.72,few clouds
174,Hermiston,US,45.8404,-119.2895,55.63,57,100,14.97,overcast clouds
175,Sambava,MG,-14.2667,50.1667,73.38,87,62,10.8,broken clouds
176,Yermakovskoye,RU,53.2831,92.4003,60.06,37,72,1.36,broken clouds
177,Chickasha,US,35.0526,-97.9364,72.5,73,0,17.27,clear sky
178,Koslan,RU,63.4564,48.8989,27.03,77,73,7.99,broken clouds
179,Hegang,CN,47.4,130.3667,55.9,22,8,9.26,clear sky
180,Henties Bay,NA,-22.116,14.2845,63.16,71,33,5.55,scattered clouds
181,Pangnirtung,CA,66.1451,-65.7125,16.5,86,100,6.82,overcast clouds
182,Yerbogachen,RU,61.2767,108.0108,44.15,69,68,13.27,broken clouds
183,Takoradi,GH,4.8845,-1.7554,78.08,82,100,5.61,overcast clouds
184,Manacor,ES,39.5696,3.2096,56.39,90,30,8.84,scattered clouds
185,Fairbanks,US,64.8378,-147.7164,53.6,31,0,4.61,clear sky
186,Hobyo,SO,5.3505,48.5268,83.91,70,62,6.89,broken clouds
187,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.74,85,96,2.62,overcast clouds
188,Ugoofaaru,MV,5.6667,73.0,85.24,70,87,5.57,overcast clouds
189,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,86,75,16.11,broken clouds
190,Abu Kamal,SY,34.4506,40.9171,71.65,50,46,4.81,scattered clouds
191,Barra Do Garcas,BR,-15.89,-52.2567,71.58,63,0,1.63,clear sky
192,At-Bashi,KG,41.1702,75.8106,51.62,33,28,1.7,scattered clouds
193,Sao Filipe,CV,14.8961,-24.4956,71.28,73,5,8.12,clear sky
194,Qaanaaq,GL,77.484,-69.3632,9.5,96,57,5.3,broken clouds
195,San Cristobal,VE,7.7669,-72.225,68.18,94,100,1.19,overcast clouds
196,Methoni,GR,36.8197,21.7049,65.21,57,96,5.53,overcast clouds
197,Haines Junction,CA,60.7522,-137.5108,42.75,65,68,4.61,broken clouds
198,Leshukonskoye,RU,64.8989,45.7622,26.78,82,100,8.34,overcast clouds
199,Puerto Leguizamo,CO,-0.1934,-74.7819,71.01,98,100,2.62,overcast clouds
200,Zlobin,HR,45.2924,14.6541,52.9,42,0,6.91,clear sky
201,Hobart,AU,-42.8794,147.3294,73.26,67,75,9.22,moderate rain
202,Kruisfontein,ZA,-34.0033,24.7314,59.11,56,4,10.56,clear sky
203,Souillac,MU,-20.5167,57.5167,71.98,94,75,4.61,broken clouds
204,Tanout,NE,14.9709,8.8879,81.9,13,79,9.04,broken clouds
205,Kalevala,RU,65.2,31.1667,23.58,80,42,4.03,scattered clouds
206,Santana Do Livramento,BR,-30.8908,-55.5328,51.06,84,0,9.22,clear sky
207,Kontagora,NG,10.3999,5.4695,78.91,62,98,4.03,overcast clouds
208,Sept-Iles,CA,50.2001,-66.3821,34.05,84,100,10.36,light snow
209,Bua Yai,TH,15.5855,102.4259,83.86,94,100,4.7,overcast clouds
210,Keetmanshoop,NA,-26.5833,18.1333,64.65,45,61,4.32,light rain
211,Maridi,SS,4.9158,29.4742,67.12,85,100,5.17,overcast clouds
212,Bose,IT,45.4612,8.0137,56.28,73,97,1.95,overcast clouds
213,Konstantinovka,RU,49.6167,127.9833,55.47,27,70,9.42,broken clouds
214,Bafq,IR,31.6128,55.4107,77.49,16,52,11.86,broken clouds
215,Khatanga,RU,71.9667,102.5,18.12,88,73,1.23,broken clouds
216,Khorixas,NA,-20.3667,14.9667,72.21,39,31,9.1,scattered clouds
217,Luderitz,NA,-26.6481,15.1594,58.91,72,11,8.88,few clouds
218,Ambilobe,MG,-13.2,49.05,72.28,95,74,3.44,broken clouds
219,Grindavik,IS,63.8424,-22.4338,48.15,93,100,8.05,overcast clouds
220,Arlit,NE,18.7369,7.3853,77.58,9,83,6.69,broken clouds
221,Alofi,NU,-19.0595,-169.9187,80.49,89,40,11.5,scattered clouds
222,Shizunai,JP,42.3339,142.3669,48.29,47,100,8.72,overcast clouds
223,The Valley,AI,18.217,-63.0578,77.83,72,98,14.65,overcast clouds
224,Port Hardy,CA,50.6996,-127.4199,48.38,76,75,3.44,broken clouds
225,Le Port,RE,-20.9373,55.2919,75.16,81,76,10.33,broken clouds
